"","seq","vname","vdesc","vtype","vrule","sector","var7","stoch","var8","var9","decomp"
"ECO",43,"ECO","Consumer expenditures on non-durable goods and non-housing services, cw 2009$","B.4","A","sector_a.1","4","IS",1,0,6
"EGF",44,"EGF","Federal government consumption and gross investment, cw 2009$","I","A","sector_h.1","4","NO",1,0,9
"EGFI",45,"EGFI","Federal government gross investment, cw 2009$","B.4","A","sector_h.3","4","GV",1,0,9
"EGFIN",46,"EGFIN","Federal government gross investment, current $","I","A","sector_h.4","4","NO",0,2,24
"EGFIT",47,"EGFIT","Federal government gross investment, cw 2009$, trend","B.4","A","sector_h.5","4","NO",1,0,9
"EGFL",48,"EGFL","Federal government employee compensation, cw 2009$","B.4","A","sector_h.6","4","GV",1,0,9
"EGFLN",49,"EGFLN","Federal government employee compensation, current $","I","A","sector_h.7","4","NO",0,2,24
"EGFLT",50,"EGFLT","Federal government employee compensation, cw 2009$, trend","B.4","A","sector_h.8","4","NO",1,0,9
"EGFN",51,"EGFN","Federal government consumption and gross investment, current $","I","A","sector_h.2","4","NO",0,2,24
"EGFO",52,"EGFO","Federal government consumption ex. employee comp., cw 2009$","B.4","A","sector_h.9","4","GV",1,0,9
"EGFON",53,"EGFON","Federal government consumption ex. employee comp., current $","I","A","sector_h.10","4","NO",0,2,24
"EGFOT",54,"EGFOT","Federal government consumption ex. employee comp., cw 2009$, trend","B.4","A","sector_h.11","4","NO",1,0,9
"EGPDIN",55,"EGPDIN","Gross private domestic investment","I","A","sector_b.31","4","NO",0,2,24
"EGS",56,"EGS","S&L government consumption and gross investment, cw 2009$","I","A","sector_h.12","4","NO",1,0,10
"EGSI",57,"EGSI","S&L government gross investment, cw 2009$","B.4","A","sector_h.14","4","GV",1,0,10
"EGSIN",58,"EGSIN","S&L government gross investment, current $","I","A","sector_h.15","4","NO",0,2,24
"EGSIT",59,"EGSIT","S&L government gross investment, cw 2009$, trend","B.4","A","sector_h.16","4","NO",1,0,10
"EGSL",60,"EGSL","S&L government employee compensation, cw 2009$","B.4","A","sector_h.17","4","GV",1,0,10
"EGSLN",61,"EGSLN","S&L government employee compensation, current $","I","A","sector_h.18","4","NO",0,2,24
"EGSLT",62,"EGSLT","S&L government employee compensation, cw 2009$, trend","B.4","A","sector_h.19","4","NO",1,0,10
"EGSN",63,"EGSN","S&L government consumption and gross investment, current $","I","A","sector_h.13","4","NO",0,2,24
"EGSO",64,"EGSO","S&L government consumption ex. employee comp., cw 2009$","B.4","A","sector_h.20","4","GV",1,0,10
"EGSON",65,"EGSON","S&L government consumption ex. employee comp., current $","I","A","sector_h.21","4","NO",0,2,24
"EGSOT",66,"EGSOT","S&L government consumption ex. employee comp., cw 2009$, trend","B.4","A","sector_h.22","4","NO",1,0,10
"EH",67,"EH","Residential investment expenditures, cw 2009$","B.4","A","sector_a.3","4","IS",1,0,6
"EHN",68,"EHN","Residential investment expenditures","I","A","sector_a.11","4","NO",0,2,24
"EI",69,"EI","Change in private inventories, cw 2009$","I","A","sector_b.5","3","NO",0,3,7
"EIN",70,"EIN","Change in business inventories, current $","B","A","sector_b.28","2","NO",0,2,24
"EM",71,"EM","Imports of goods and services, cw 2009$","I","A","sector_c.9","4","NO",1,0,8
"EMN",72,"EMN","Imports of goods and services, current $","I","A","sector_c.8","4","NO",0,2,24
"EMO",73,"EMO","Imports of goods and services ex. petroleum, cw 2009$","B.4","A","sector_c.3","4","IS",1,0,8
"EMON",74,"EMON","Imports of goods and services ex. petroleum","I","A","sector_c.4","4","NO",0,2,24
"EMP",75,"EMP","Petroleum imports, cw 2009$","I","A","sector_c.6","4","NO",0,3,8
"EMPN",76,"EMPN","Petroleum imports, current $","I","A","sector_c.7","4","NO",0,2,24
"EMPT",77,"EMPT","Petroleum imports trend, cw 2009$","B","A","sector_d.15","4","NO",1,0,28
"EPD",78,"EPD","Investment in equipment, cw 2009$","B.4","A","sector_b.1","4","IS",1,0,7
"EPDN",79,"EPDN","Investment in equipment, current $","I","A","sector_b.25","4","NO",0,2,24
"EPI",80,"EPI","Investment in intellectual property, cw 2009$","B.4","A","sector_b.2","4","IS",1,0,7
"EPIN",81,"EPIN","Investment in intellectual property, current $","I","","sector_b.26","","NO",NA,NA,24
"EPS",82,"EPS","Investment in nonresidential structures, cw 2009$","B.4","A","sector_b.3","4","IS",1,0,7
"EPSN",83,"EPSN","Investment in nonresidential structures, current $","I","A","sector_b.27","4","NO",0,2,24
"EX",84,"EX","Exports of goods and services, cw 2009 $","B.4","A","sector_c.1","4","IS",1,0,8
"EXN",85,"EXN","Exports of goods and services, current $","I","A","sector_c.2","4","NO",0,2,24
"FCBN",86,"FCBN","US current account balance, current $","I","A","sector_c.10","2","NO",0,2,13
"FCBRN",87,"FCBRN","US current account balance residual, current $","I","A","sector_c.11","2","NO",0,2,13
"FGDP",88,"FGDP","Foreign aggregate GDP (world, bilateral export weights)","I","A","sector_j.2","4","NO",0,1,12
"FGDPT",89,"FGDPT","Foreign aggregate GDP (world, bilateral export weights), trend","B.4","A","sector_j.3","4","NO",0,1,12
"FNICN",90,"FNICN","Gross stock of claims of US residents on the rest of the world, current $","I","A","sector_c.16","2","NO",2,0,13
"FNILN",91,"FNILN","Gross stock of liabilities of US residents to the rest of the world, current $","I","A","sector_c.17","2","NO",0,2,13
"FNIN",92,"FNIN","Net stock of claims of US residents on the rest of the world, current $","I","A","sector_c.12","2","NO",0,2,13
"FNIRN",93,"FNIRN","Net stock of claims of US residents on the rest of the world, residual","I","A","sector_c.22","2","NO",0,2,13
"FPC",94,"FPC","Foreign aggregate consumer price (G39, import/export trade weights)","I","A","sector_j.7","4","NO",0,1,13
"FPCM",95,"FPCM","Foreign aggregate consumer price (G39, bilateral non-oil import trade weights)","I","A","sector_j.8","4","NO",0,1,13
"FPI10",96,"FPI10","Foreign consumer price inflation (G10)","B.4","A","sector_j.4","1","NO",0,0,13
"FPI10T",97,"FPI10T","Foreign consumer price inflation, trend (G10)","B.1","A","sector_j.5","1","NO",0,0,13
"FPIC",98,"FPIC","Foreign consumer price inflation (G39, bilateral export trade weights)","B.1","A","sector_j.6","1","NO",0,0,13
"FPITRG",99,"FPITRG","Foreign target consumer price inflation (G10)","X.2","","","1","NO",0,0,13
"FPX",100,"FPX","Nominal exchange rate (G39, import/export trade weights)","I","A","sector_j.14","4","NO",0,1,4
"FPXM",101,"FPXM","Nominal exchange rate (G39, bilateral import trade weights)","I","A","sector_j.15","4","NO",0,1,4
"FPXR",102,"FPXR","Real exchange rate (G39, import/export trade weights)","B","A","sector_j.12","4","NO",1,0,4
"FPXRR",103,"FPXRR","Real exchange rate residual","B.4","A","sector_j.13","4","RW",1,0,4
"FPXRRT",104,"FPXRRT","Real exchange rate residual, trend","X.2","","","4","NO",0,0,4
"FRL10",105,"FRL10","Foreign long-term interest rate (G10)","B.4","A","sector_j.11","1","NO",0,0,13
"FRS10",106,"FRS10","Foreign short-term interest rate (G10)","B.4","A","sector_j.9","1","NO",0,0,13
"FRSTAR",107,"FRSTAR","Equilibrium real short-term interest rate used in foreign Taylor rule","B","A","sector_j.10","1","NO",0,0,13
"FTCIN",108,"FTCIN","Corporate taxes paid to rest of world, current $","I","A","sector_c.13","4","NO",0,2,13
"FXGAP",109,"FXGAP","Foreign output gap (world, bilateral export weights)","B.4","A","sector_j.1","1","RW",0,0,12
"FYNICN",110,"FYNICN","Gross investment income received from the rest of the world, current $","I","A","sector_c.18","2","NO",0,2,13
"FYNILN",111,"FYNILN","Gross investment income paid to the rest of the world, current $","I","A","sector_c.19","2","NO",0,2,13
"FYNIN",112,"FYNIN","Net investment income received from the rest of the world, current $","I","A","sector_c.14","2","NO",0,2,13
"GFDBTN",113,"GFDBTN","Federal government debt stock, current $","I","A","sector_h.23","2","NO",0,2,14
"GFDRT",114,"GFDRT","Federal government target debt-to-GDP ratio","X.2","","","1","NO",0,0,14
"GFINTN",115,"GFINTN","Federal government net interest payments, current $","I","A","sector_h.24","2","NO",0,2,14
"GFS",116,"GFS","Federal government grants-in-aid to S&L government, deflated by PGDP","B.4","A","sector_h.25","4","NO",0,0,14
"GFSN",117,"GFSN","Federal government grants-in-aid to S&L government, current $","I","A","sector_h.26","4","NO",0,2,14
"GFSRPN",118,"GFSRPN","Federal government budget surplus, current $","I","A","sector_h.27","2","NO",0,2,14
"GFSRT",119,"GFSRT","Federal government target surplus-to-GDP ratio","X.2","","","1","NO",0,0,14
"GFSUB",120,"GFSUB","Federal government subsidies less surplus, deflated by PGDP","B.4","A","sector_h.28","3","NO",0,0,14
"GFSUBN",121,"GFSUBN","Federal government subsidies less surplus, current $","I","A","sector_h.29","2","NO",0,2,14
"GFT",122,"GFT","Federal government net transfer payments, deflated by PGDP","I","A","sector_h.30","4","NO",0,0,14
"GFTN",123,"GFTN","Federal government net transfer payments, current $","I","A","sector_h.31","4","NO",0,2,14
"GFTRD",124,"GFTRD","Deviation of ratio of federal transfers to GDP from trend ratio","B.1","A","sector_h.32","1","GV",0,0,14
"GFTRT",125,"GFTRT","Federal government, trend ratio of transfer payments to GDP","X.2","","","1","NO",0,0,14
"GSDBTN",126,"GSDBTN","S&L government debt stock, current $","I","A","sector_h.33","2","NO",0,2,15
"GSDRT",127,"GSDRT","S&L government target debt-to-GDP ratio","X.2","","","4","NO",0,0,15
"GSINTN",128,"GSINTN","S&L government net interest payments, current $","I","A","sector_h.34","2","NO",0,2,15
"GSSRPN",129,"GSSRPN","S&L government budget surplus, current $","I","A","sector_h.35","2","NO",0,2,15
"GSSRT",130,"GSSRT","State and local government, target surplus-to-GDP ratio","X.2","","","1","NO",0,0,15
"GSSUB",131,"GSSUB","S&L government subsidies less surplus, deflated by PGDP","I","A","sector_h.40","3","NO",0,0,15
"GSSUBN",132,"GSSUBN","S&L government subsidies less surplus, current $","I","A","sector_h.36","2","NO",0,2,15
"GST",133,"GST","S&L government net transfer payments, deflated by PGDP","I","A","sector_h.38","4","NO",0,3,15
"GSTN",134,"GSTN","S&L government net transfer payments, current $","I","A","sector_h.37","4","NO",0,2,15
"GSTRD",135,"GSTRD","Deviation of ratio of S&L transfers to GDP from trend ratio","B.1","A","sector_h.39","1","GV",0,0,15
"GSTRT",136,"GSTRT","S&L government, trend ratio of transfer payments to GDP","X.2","","","1","NO",0,0,15
"HGEMP",137,"HGEMP","Petroleum imports, cw 2009$, trend growth rate","B","A","sector_c.15","1","NO",0,0,28
"HGGDP",138,"HGGDP","Growth rate of GDP, cw 2009$ (annual rate)","I","A","sector_d.3","1","NO",0,0,29
"HGGDPT",139,"HGGDPT","Trend growth rate of XGDP, cw 2009$ (annual rate)","I","A","sector_d.24","1","NO",0,0,18
"HGPCDR",140,"HGPCDR","Trend growth rate of price of consumer durable goods (relative to PCNIA)","X.2","","","1","NO",0,0,22
"HGPDR",141,"HGPDR","Trend Price Growth of PPDR","B","A","sector_g.50","1","NO",0,0,22
"HGPIR",142,"HGPIR","Trend Price Growth of PPIR","B","A","sector_g.51","1","NO",0,0,22
"HGPKIR",143,"HGPKIR","Trend growth rate of PKIR","B","A","sector_g.52","1","NO",0,0,22
"HGPPSR",144,"HGPPSR","Trend growth rate of PPSR","B","A","sector_g.53","1","NO",0,0,22
"HGVPD",145,"HGVPD","Trend Growth of VPD","B","A","sector_b.23","1","NO",0,0,7
"HGVPI",146,"HGVPI","Trend growth rate of VPI","B","A","sector_b.32","1","NO",0,0,7
"HGVPS",147,"HGVPS","Trend growth rate of VPS","B","A","sector_b.24","1","NO",0,0,7
"HGX",148,"HGX","Trend growth rate of XG, cw 2009$ (annual rate)","I","A","sector_d.22","1","NO",0,0,18
"HGYNID",149,"HGYNID","Growth rate of real after-tax corporate profits","I","A","sector_z.37","1","NO",0,0,28
"HKS",150,"HKS","Growth rate of KS, cw 2009$ (compound annual rate)","I","A","sector_b.13","1","NO",0,0,18
"HKSR",151,"HKSR","Residual growth of capital services","X.7","","","1","NO",0,0,18
"HLEPT",152,"HLEPT","Trend growth rate of LEP (annual rate)","B","A","sector_e.22","1","NO",0,0,18
"HLPRDT",153,"HLPRDT","Trend growth rate of output per hour","I","A","sector_e.24","1","NO",0,0,18
"HMFPT",154,"HMFPT","Trend growth rate of multifactor productivity","B","A","sector_d.11","1","ST",0,0,18
"HQLFPR",155,"HQLFPR","Drift component of change in QLFPR","B","A","sector_e.13","1","LB",0,0,18
"HQLWW",156,"HQLWW","Trend growth rate of workweek","B","A","sector_e.5","1","LB",0,0,18
"HUQPCT",157,"HUQPCT","Drift term in stochastic component of trend ratio of PCNIA to PXP","B","A","sector_g.31","4","NO",0,0,22
"HUXB",158,"HUXB","Drift term in UXBT","B.4","A","sector_d.19","1","NO",0,0,18
"HXBT",159,"HXBT","Trend rate of growth of XB  , cw 2009$ (annual rate)","I","A","sector_d.23","1","NO",0,0,18
"JCCACN",160,"JCCACN","Consumption of fixed capital, corporate, current $","I","A","sector_f.7","4","NO",0,2,21
"JCCAN",161,"JCCAN","Consumption of fixed capital, current $","I","A","sector_f.8","4","NO",0,2,21
"JKCD",162,"JKCD","Consumption of fixed capital, consumer durables","I","A","sector_a.16","4","NO",1,0,21
"JRCD",163,"JRCD","Depreciation rate, consumer durables","X.3","","","1","NO",0,0,21
"JRH",164,"JRH","Depreciation rate, housing","X.3","","","1","NO",0,0,21
"JRPD",165,"JRPD","Depreciation rate, equipment","X.3","","","1","NO",0,0,21
"JRPI",166,"JRPI","Depreciation rate, intellectual property","X.3","","","1","NO",0,0,21
"JRPS",167,"JRPS","Depreciation rate, nonresidential structures","X.3","","","1","NO",0,0,21
"JYGFEN",168,"JYGFEN","CFC, federal government enterprises, current $","I","A","sector_f.9","4","NO",0,2,14
"JYGFGN",169,"JYGFGN","CFC, federal government, general, current $","I","A","sector_f.10","4","NO",0,2,14
"JYGSEN",170,"JYGSEN","CFC, state and local government enterprises, current $","I","A","sector_f.11","4","NO",0,2,15
"JYGSGN",171,"JYGSGN","CFC, state and local government, general, current $","I","A","sector_f.12","4","NO",0,2,15
"JYNCN",172,"JYNCN","Noncorporate business CFC, current $","I","A","sector_f.13","4","NO",0,2,21
"KCD",173,"KCD","Stock of consumer durables, cw 2009$","I","A","sector_a.12","4","NO",0,3,21
"KH",174,"KH","Stock of residential structures, cw 2009$","I","A","sector_a.13","4","NO",0,3,21
"KI",175,"KI","Stock of private inventories, cw 2009$","B.4","A","sector_b.4","4","IS",1,0,7
"KPD",176,"KPD","Capital stock - Equipment, 2009$","I","A","sector_b.10","4","NO",0,3,21
"KPI",177,"KPI","Capital Stock - Intellectual Property, 2009$","I","","sector_b.11","","NO",NA,NA,21
"KPS",178,"KPS","Capital stock - nonresidential structures, 2009$","I","A","sector_b.12","4","NO",0,3,21
"KS",179,"KS","Capital services, 2009 $","I","A","sector_b.14","4","NO",1,0,18
"LEF",180,"LEF","Federal civilian employment ex. gov. enterprise","I","A","sector_e.8","4","NO",0,4,20
"LEFT",181,"LEFT","Federal civilian employment ex. gov. enterprise, trend","B.6","A","sector_e.19","4","NO",0,4,18
"LEH",182,"LEH","Civilian employment (break adjusted)","I","A","sector_e.10","4","NO",0,4,20
"LEO",183,"LEO","Difference between household and business sector payroll employment, less gov't emp.","B","A","sector_e.7","5","NO",1,0,20
"LEP",184,"LEP","Employment in  business sector (employee and  self-employed)","I","A","sector_e.6","4","NO",0,4,20
"LEPPOT",185,"LEPPOT","Potential employment in  business sector","I","A","sector_e.21","4","NO",0,4,18
"LES",186,"LES","S&L government employment ex. gov. enterprise","I","A","sector_e.9","4","NO",0,4,20
"LEST",187,"LEST","S&L government employment ex. gov. enterprise, trend","B.4","A","sector_e.20","4","NO",0,4,18
"LEUC",188,"LEUC","Emergency unemployment compensation (EUC)","X.2","","","1","NO",0,0,18
"LF",189,"LF","Civilian labor force (break adjusted)","I","A","sector_e.14","4","NO",0,4,20
"LFPR",190,"LFPR","Labor force participation rate","B","A","sector_e.11","1","LB",0,0,20
"LHP",191,"LHP","Aggregate labor hours,  business sector (employee and  self-employed)","B","A","sector_e.1","4","LB",1,0,20
"LPRDT",192,"LPRDT","Trend labor productivity","I","A","sector_e.23","4","NO",1,0,18
"LQUALT",193,"LQUALT","Labor quality, trend level","X.1","","","4","NO",0,0,18
"LUR",194,"LUR","Civilian unemployment rate (break adjusted)","B","A","sector_e.15","1","LB",0,0,20
"LURBLS",195,"LURBLS","Civilian unemployment rate (published)","B.3","A","sector_e.16","1","NO",0,0,20
"LURNAT",196,"LURNAT","Natural rate of unemployment","B","A","sector_e.25","1","LB",0,0,18
"LURTRSH",197,"LURTRSH","Unemployment threshold","X.2","","","1","NO",0,0,1
"LWW",198,"LWW","Workweek,  business sector (employee and self-employed)","B.7","A","sector_e.3","4","LB",1,0,20
"MEI",199,"MEI","Multiplicative discrepancy for the difference between XGDI and XGDO","B","A","sector_i.39","1","NO",0,0,28
"MEP",200,"MEP","Multiplicative discrepancy for the difference between XGDP and XGDO","B","A","sector_i.41","1","NO",0,0,28
"MFPT",201,"MFPT","Multifactor productivity, trend level","B","A","sector_d.12","4","ST",1,0,18
"N16",202,"N16","Noninstitutional population, aged 16 and over (break adjusted)","X.1","","","4","NO",0,0,18
"PCDR",203,"PCDR","Price index for consumer durables, cw (relative to to PCNIA)","B.4","A","sector_g.59","4","NO",0,0,22
"PCENG",204,"PCENG","Price index for aggregate energy consumption","I","A","sector_g.37","4","NO",0,1,17
"PCENGR",205,"PCENGR","Price index for aggregate energy consumption (relative to PXB  )","B.4","A","sector_g.36","4","PR",1,0,17
"PCER",206,"PCER","Price index for personal consumption expenditures on energy (relative to PCXFE)","B.4","A","sector_g.38","4","PR",1,0,17
"PCFR",207,"PCFR","Price index for personal consumption expenditures on food (relative to PCXFE)","B.4","A","sector_g.39","4","PR",1,0,22
"PCFRT",208,"PCFRT","Real PCE price of food, trend","X.2","","","4","NO",0,0,22
"PCHR",209,"PCHR","Price index for housing services, cw (relative to to PCNIA)","B.4","A","sector_g.57","4","NO",0,0,22
"PCNIA",210,"PCNIA","Price index for personal consumption expenditures, cw (NIPA definition)","I","","sector_g.5","","NO",NA,NA,22
"PCOR",211,"PCOR","Price index for non-durable goods and non-housing services, cw (relative to to PCNIA)","I","A","sector_g.56","4","NO",0,0,22
"PCPI",212,"PCPI","Consumer price index,total","I","A","sector_g.6","4","NO",0,1,22
"PCPIX",213,"PCPIX","Consumer price index,excluding food and energy","I","A","sector_g.7","4","NO",0,1,22
"PCSTAR",214,"PCSTAR","Target consumption price level (used in RFFGEN policy rule)","X.1","","","4","NO",0,0,22
"PCXFE",215,"PCXFE","Price index for personal consumption expendits ex. food and energy, cw (NIPA definition)","B.4","A","sector_g.33","4","NO",1,0,22
"PGDP",216,"PGDP","Price index for GDP, cw","I","A","sector_g.44","4","NO",0,1,22
"PGFIR",217,"PGFIR","Price index for federal gov. investment, cw (relative to PXP)","B.4","A","sector_g.17","4","OT",1,0,22
"PGFL",218,"PGFL","Price index for federal government employee compensation, cw","I","A","sector_g.45","4","NO",0,1,22
"PGFOR",219,"PGFOR","Price index for federal governemnt consumption ex. emp. comp., cw (relative to PXP)","B.4","A","sector_g.18","4","OT",1,0,22
"PGSIR",220,"PGSIR","Price index for S&L government investment (relative to PXP)","B.4","A","sector_g.19","4","OT",1,0,22
"PGSL",221,"PGSL","Price index for S&L government employee compensation, cw","I","A","sector_g.46","4","NO",0,1,22
"PGSOR",222,"PGSOR","Price index for S&L government consumption ex. emp. comp., cw (relative to PXP)","B.4","A","sector_g.20","4","OT",1,0,22
"PHOUSE",223,"PHOUSE","Loan Performance House Price Index","B.4","A","sector_i.37","1","FN",0,0,3
"PHR",224,"PHR","Price index for residential investment, cw (relative to PXP)","B.4","A","sector_g.21","4","OT",1,0,22
"PIC4",225,"PIC4","Four-quarter percent change in PCE prices","I","A","sector_g.60","4","NO",1,0,22
"PICNGR",226,"PICNGR","Weighted growth rate of relative energy price","I","A","sector_g.54","1","NO",0,0,17
"PICNIA",227,"PICNIA","Inflation rate, personal consumption expenditures, cw","B","A","sector_g.4","1","NO",0,0,22
"PICX4",228,"PICX4","Four-quarter percent change core in PCE prices","I","A","sector_g.58","4","NO",1,0,22
"PICXFE",229,"PICXFE","Inflation rate, personal consumption expenditures, ex. food and energy, cw","B.4","A","sector_g.1","1","PR",0,0,22
"PIECI",230,"PIECI","Annualized rate of growth of EI hourly compensation","B.4","A","sector_g.2","1","PR",0,0,22
"PIGDP",231,"PIGDP","Inflation rate, GDP, cw","I","A","sector_g.55","1","NO",0,0,22
"PIPL",232,"PIPL","Rate of growth of PL","B","A","sector_g.8","1","NO",0,0,22
"PIPXNC",233,"PIPXNC","Inflation rate, price of adjusted final sales excluding consumption (annual rate)","B","A","sector_g.3","1","NO",0,0,22
"PITARG",234,"PITARG","Target rate of consumption price inflation (used in policy reaction functions)","X.2","","","1","NO",0,0,1
"PITRSH",235,"PITRSH","Inflation threshold","X.2","","","1","NO",0,0,1
"PKIR",236,"PKIR","Price index for stock of inventories, cw (relative to PXP)","X.2","","","4","NO",0,0,22
"PKPDR",237,"PKPDR","Ratio of price of equipment stock (KPD) to PXP","I","A","sector_g.47","4","NO",0,1,22
"PL",238,"PL","Compensation per hour,  business","I","A","sector_g.9","4","NO",1,0,22
"PLMIN",239,"PLMIN","Minimum wage","I","A","sector_g.28","4","NO",0,1,22
"PLMINR",240,"PLMINR","Ratio of hourly minimum wage to compensation per hour (times 100)","X.2","","","4","NO",0,0,22
"PMO",241,"PMO","Price index for imports ex. petroleum, cw","B.4","A","sector_g.42","4","PR",1,0,22
"PMP",242,"PMP","Price index for petroleum imports","I","A","sector_g.35","4","NO",0,1,22
"POIL",243,"POIL","Price of imported oil ($ per barrel)","I","A","sector_g.34","4","NO",0,1,17
"POILR",244,"POILR","Price of imported oil, relative to price index for bus. sector output","B.4","A","sector_g.32","4","PR",1,0,17
"POILRT",245,"POILRT","Price of imported oil, relative to price index for bus. sector output, trend","X.2","","","4","NO",0,0,17
"PPDR",246,"PPDR","Price level of EPD compared to PXP","B.4","A","sector_g.22","4","OT",1,0,22
"PPIR",247,"PPIR","Price level of EPI compared to PXP","B.4","A","sector_g.23","4","OT",1,0,22
"PPSR",248,"PPSR","Price index for nonresidential structures, cw (relative to PXP)","B.4","A","sector_g.24","4","OT",1,0,22
"PTR",249,"PTR","10-year expected PCE price inflation (Survey of Professional Forecasters)","B","A","sector_z.1","1","NO",0,0,22
"PWSTAR",250,"PWSTAR","Equilibrium NFB price markup","B","A","sector_g.11","1","NO",0,0,22
"PXB",251,"PXB","Price index for NFB output","I","A","sector_g.49","4","NO",0,1,22
"PXG",252,"PXG","Price index for  business output plus oil imports","I","A","sector_g.48","4","NO",0,1,22
"PXNC",253,"PXNC","Price of adjusted final sales excluding consumption","B.4","A","sector_g.10","4","NO",1,0,22
"PXP",254,"PXP","Price index for final sales plus imports less gov. labor","I","A","sector_g.16","4","NO",1,0,22
"PXR",255,"PXR","Price index for exports, cw (relative to PXP)","B.4","A","sector_g.25","4","OT",1,0,22
"QEC",256,"QEC","Desired level of consumption (FRBUS definition)","I","A","sector_a.5","4","NO",0,3,25
"QECD",257,"QECD","Target level of consumption of durable goods, trending component","I","A","sector_a.7","4","NO",0,1,25
